"id","name","area","ingredients"
52936,"Saltfish and Ackee","Jamaican","Salt Cod, Ackee, Onion, Paprika, Curry Powder, Jerusalem Artichokes, Hotsauce, Red Pepper, Yellow Pepper, Tomatoes, Salt, Pepper, Self-raising Flour, Suet, Salt, Olive Oil"
52774,"Pad See Ew","Thai","rice stick noodles, dark soy sauce, oyster sauce, soy sauce, white vinegar, sugar, water, peanut oil, garlic, Chicken, Egg, Chinese broccoli"
52927,"Montreal Smoked Meat","Canadian","Beef Brisket, Salt, Black Pepper, Coriander, Sugar, Bay Leaf, Cloves, Black Pepper, Coriander, Paprika, Garlic, Onion, Dill, English Mustard, Celery Salt, Red Pepper Flakes"
52971,"Kafteji","Tunisian","Potatoes, Olive Oil, Green Pepper, Onions, Ras el hanout, Pumpkin, Eggs, Salt, Pepper"
52842,"Broccoli & Stilton soup","British","Rapeseed Oil, Onion, Celery, Leek, Potatoes, Butter, Vegetable Stock, Broccoli, Stilton Cheese"
52818,"Chicken Fajita Mac and Cheese","American","macaroni, chicken stock, heavy cream, fajita seasoning, salt, chicken breast, olive oil, onion, red pepper, garlic, cheddar cheese, parsley"
52806,"Tandoori chicken","Indian","lemons, paprika, red onions, chicken thighs, vegetable oil, Greek yogurt, ginger, garlic clove, garam masala, ground cumin, chilli powder, turmeric"
52923,"Canadian Butter Tarts","Canadian","Shortcrust Pastry, Eggs, Muscovado Sugar, Raisins, Vanilla Extract, Butter, Single Cream, Walnuts"
53030,"Feteer Meshaltet","Egyptian","Flour, Water, Salt, Unsalted Butter, Olive Oil"
52895,"English Breakfast","British","Sausages, Bacon, Mushrooms, Tomatoes, Black Pudding, Eggs, Bread"
52841,"Creamy Tomato Soup","British","Olive Oil, Onions, Celery, Carrots, Potatoes, Bay Leaf, Tomato Puree, Sugar, White Vinegar, Chopped Tomatoes, Passata, Vegetable Stock Cube, Whole Milk"
52953,"Shrimp Chow Fun","Chinese","Rice Stick Noodles, Prawns, Egg, Pepper, Sesame Seed Oil, Cornstarch, Oil, Minced Garlic, Ginger, Onion, Bean Sprouts, Spring Onions, Cooking wine, Oyster Sauce, Sugar, Vinegar, Soy Sauce"
52903,"French Onion Soup","French","Butter, Olive Oil, Onion, Sugar, Garlic Clove, Plain Flour, Dry White Wine, Beef Stock, Bread, Gruyre"
52911,"Summer Pistou","French","Rapeseed Oil, Leek, Courgettes, Vegetable Stock, Cannellini Beans, Green Beans, Tomatoes, Garlic Clove, Basil, Parmesan"
52865,"Matar Paneer","Indian","Sunflower Oil, Paneer, Ginger, Cumin, Turmeric, Coriander, Green Chilli, Tomato, Peas, Garam Masala, Coriander, Naan Bread"
52868,"Kidney Bean Curry","Indian","Vegetable Oil, Onion, Garlic, Ginger, Coriander, Cumin, Paprika, Garam Masala, Chopped Tomatoes, Kidney Beans, Basmati Rice"
52816,"Roasted Eggplant With Tahini, Pine Nuts, and Lentils","American","Olive Oil, Carrots, Celery, Onion, Garlic, Brown Lentils, Bay Leaves, Water, Salt, Apple Cider Vinegar, Pepper, Egg Plants, Rosemary, Pine nuts, Parsley"
52958,"Peanut Butter Cookies","American","Peanut Butter, Sugar, Egg"
52809,"Recheado Masala Fish","Indian","Mackerel, Red Chili, Ginger, Garlic, Pepper, Cumin, Turmeric, Cinnamon stick, Clove, Cardamom, Sugar, Tamarind ball, Vinegar, Oil"
52835,"Fettucine alfredo","Italian","Clotted Cream, Butter, Corn Flour, Parmesan Cheese, Nutmeg, Fettuccine, Parsley"
52887,"Kedgeree","British","Smoked Haddock, Bay Leaves, Milk, Eggs, Parsley, Coriander, Vegetable Oil, Onion, Coriander, Curry Powder, Rice"
